i,j,similarity,dataset_i,dataset_j,level_i,level_j
4933,4391,0.6751,deplain_apa_doc,apa_lha,B1,B1
4934,4347,0.5211,deplain_apa_doc,apa_lha,B1,B1
4935,4609,0.5976,deplain_apa_doc,apa_lha,B1,B1
4936,3326,0.5214,deplain_apa_doc,apa_lha,B1,B1
4937,4532,0.6743,deplain_apa_doc,apa_lha,B1,B1
4938,4653,0.459,deplain_apa_doc,apa_lha,B1,B1
4939,4371,0.6413,deplain_apa_doc,apa_lha,B1,B1
4940,4615,0.4021,deplain_apa_doc,apa_lha,B1,B1
4941,4325,0.5468,deplain_apa_doc,apa_lha,B1,B1
4942,2359,0.4051,deplain_apa_doc,apa_lha,B1,A2
4943,3410,0.7226,deplain_apa_doc,apa_lha,B1,B1
4944,2359,0.479,deplain_apa_doc,apa_lha,B1,A2
4945,4666,0.5346,deplain_apa_doc,apa_lha,B1,B1
4946,4655,0.5208,deplain_apa_doc,apa_lha,B1,B1
4947,4496,0.5839,deplain_apa_doc,apa_lha,B1,B1
4948,4280,0.592,deplain_apa_doc,apa_lha,B1,B1
4949,4655,0.5832,deplain_apa_doc,apa_lha,B1,B1
4950,4442,0.5336,deplain_apa_doc,apa_lha,B1,B1
4951,3349,0.4684,deplain_apa_doc,apa_lha,B1,B1
4952,2740,0.4713,deplain_apa_doc,apa_lha,B1,A2
4953,2916,0.5377,deplain_apa_doc,apa_lha,B1,A2
4954,4331,0.4844,deplain_apa_doc,apa_lha,B1,B1
4955,2646,0.4433,deplain_apa_doc,apa_lha,B1,A2
4956,4514,0.6502,deplain_apa_doc,apa_lha,B1,B1
4957,4690,0.5654,deplain_apa_doc,apa_lha,B1,B1
4958,4463,0.4281,deplain_apa_doc,apa_lha,B1,B1
4959,4366,0.5547,deplain_apa_doc,apa_lha,B1,B1
4960,2836,0.4268,deplain_apa_doc,apa_lha,B1,A2
4961,2916,0.5336,deplain_apa_doc,apa_lha,B1,A2
4962,2944,0.409,deplain_apa_doc,apa_lha,B1,A2
4963,3160,0.5621,deplain_apa_doc,apa_lha,B1,A2
4964,4402,0.5203,deplain_apa_doc,apa_lha,B1,B1
4965,4600,0.5404,deplain_apa_doc,apa_lha,B1,B1
4966,4537,0.5568,deplain_apa_doc,apa_lha,B1,B1
4967,2658,0.5124,deplain_apa_doc,apa_lha,B1,A2
4968,1559,0.4671,deplain_apa_doc,apa_lha,B1,A2
4969,2734,0.4499,deplain_apa_doc,apa_lha,B1,A2
4970,3882,0.4755,deplain_apa_doc,apa_lha,B1,B1
4971,4622,0.4852,deplain_apa_doc,apa_lha,B1,B1
4972,2933,0.4483,deplain_apa_doc,apa_lha,B1,A2
4973,4694,0.4933,deplain_apa_doc,apa_lha,B1,B1
4974,4708,0.6124,deplain_apa_doc,apa_lha,B1,B1
4975,4774,0.5342,deplain_apa_doc,apa_lha,B1,B1
4976,4452,0.7089,deplain_apa_doc,apa_lha,B1,B1
4977,4560,0.5336,deplain_apa_doc,apa_lha,B1,B1
4978,4486,0.5477,deplain_apa_doc,apa_lha,B1,B1
4979,4480,0.4613,deplain_apa_doc,apa_lha,B1,B1
4980,4009,0.4806,deplain_apa_doc,apa_lha,B1,B1
4981,4368,0.4335,deplain_apa_doc,apa_lha,B1,B1
4982,4351,0.4661,deplain_apa_doc,apa_lha,B1,B1
4983,3484,0.6656,deplain_apa_doc,apa_lha,B1,B1
4984,4766,0.513,deplain_apa_doc,apa_lha,B1,B1
4985,1817,0.4904,deplain_apa_doc,apa_lha,B1,A2
4986,2942,0.5182,deplain_apa_doc,apa_lha,B1,A2
4987,3456,0.5354,deplain_apa_doc,apa_lha,B1,B1
4988,3021,0.456,deplain_apa_doc,apa_lha,B1,A2
4989,4818,0.4908,deplain_apa_doc,apa_lha,B1,B1
4990,3386,0.4435,deplain_apa_doc,apa_lha,B1,B1
4991,4816,0.5001,deplain_apa_doc,apa_lha,B1,B1
4992,3484,0.6482,deplain_apa_doc,apa_lha,B1,B1
4993,3372,0.5905,deplain_apa_doc,apa_lha,B1,B1
4994,3471,0.5356,deplain_apa_doc,apa_lha,B1,B1
4995,3341,0.5938,deplain_apa_doc,apa_lha,B1,B1
4996,3307,0.4358,deplain_apa_doc,apa_lha,B1,B1
4997,3502,0.6024,deplain_apa_doc,apa_lha,B1,B1
4998,4786,0.4907,deplain_apa_doc,apa_lha,B1,B1
4999,3279,0.5784,deplain_apa_doc,apa_lha,B1,B1
5000,3319,0.4576,deplain_apa_doc,apa_lha,B1,B1
5001,3444,0.4902,deplain_apa_doc,apa_lha,B1,B1
5002,3421,0.554,deplain_apa_doc,apa_lha,B1,B1
5003,3488,0.4073,deplain_apa_doc,apa_lha,B1,B1
5004,3217,0.4394,deplain_apa_doc,apa_lha,B1,A2
5005,3479,0.4679,deplain_apa_doc,apa_lha,B1,B1
5006,3276,0.6984,deplain_apa_doc,apa_lha,B1,B1
5007,3358,0.51,deplain_apa_doc,apa_lha,B1,B1
5008,4047,0.4739,deplain_apa_doc,apa_lha,B1,B1
5009,3302,0.4531,deplain_apa_doc,apa_lha,B1,B1
5010,1656,0.4972,deplain_apa_doc,apa_lha,B1,A2
5011,3329,0.439,deplain_apa_doc,apa_lha,B1,B1
5012,3159,0.4853,deplain_apa_doc,apa_lha,B1,A2
5013,3457,0.4943,deplain_apa_doc,apa_lha,B1,B1
5014,3316,0.5507,deplain_apa_doc,apa_lha,B1,B1
5015,3338,0.6842,deplain_apa_doc,apa_lha,B1,B1
5016,3436,0.4256,deplain_apa_doc,apa_lha,B1,B1
5017,4544,0.7204,deplain_apa_doc,apa_lha,B1,B1
5018,4047,0.4656,deplain_apa_doc,apa_lha,B1,B1
5019,3396,0.563,deplain_apa_doc,apa_lha,B1,B1
5020,3484,0.4102,deplain_apa_doc,apa_lha,B1,B1
5021,3375,0.5297,deplain_apa_doc,apa_lha,B1,B1
5022,3442,0.5102,deplain_apa_doc,apa_lha,B1,B1
5023,3427,0.5608,deplain_apa_doc,apa_lha,B1,B1
5024,3331,0.3652,deplain_apa_doc,apa_lha,B1,B1
5025,3386,0.6713,deplain_apa_doc,apa_lha,B1,B1
5026,3508,0.6222,deplain_apa_doc,apa_lha,B1,B1
5027,3461,0.5381,deplain_apa_doc,apa_lha,B1,B1
5028,3327,0.4331,deplain_apa_doc,apa_lha,B1,B1
5029,4769,0.7551,deplain_apa_doc,apa_lha,B1,B1
5030,3049,0.4662,deplain_apa_doc,apa_lha,B1,A2
5031,3177,0.5215,deplain_apa_doc,apa_lha,B1,A2
5032,3288,0.5698,deplain_apa_doc,apa_lha,B1,B1
5033,3274,0.622,deplain_apa_doc,apa_lha,B1,B1
5034,3325,0.5396,deplain_apa_doc,apa_lha,B1,B1
5035,4773,0.431,deplain_apa_doc,apa_lha,B1,B1
5036,1913,0.4411,deplain_apa_doc,apa_lha,B1,A2
5037,3492,0.4631,deplain_apa_doc,apa_lha,B1,B1
5038,3439,0.6067,deplain_apa_doc,apa_lha,B1,B1
5039,4769,0.694,deplain_apa_doc,apa_lha,B1,B1
5040,3517,0.4576,deplain_apa_doc,apa_lha,B1,B1
5041,3400,0.7255,deplain_apa_doc,apa_lha,B1,B1
5042,4822,0.6229,deplain_apa_doc,apa_lha,B1,B1
5043,3299,0.5493,deplain_apa_doc,apa_lha,B1,B1
5044,3381,0.6421,deplain_apa_doc,apa_lha,B1,B1
5045,1751,0.5205,deplain_apa_doc,apa_lha,B1,A2
5046,3494,0.5789,deplain_apa_doc,apa_lha,B1,B1
5047,3335,0.6516,deplain_apa_doc,apa_lha,B1,B1
5048,3459,0.5185,deplain_apa_doc,apa_lha,B1,B1
5049,3452,0.3714,deplain_apa_doc,apa_lha,B1,B1
5050,3418,0.5155,deplain_apa_doc,apa_lha,B1,B1
5051,3959,0.3947,deplain_apa_doc,apa_lha,B1,B1
5052,3518,0.4628,deplain_apa_doc,apa_lha,B1,B1
5053,3354,0.5191,deplain_apa_doc,apa_lha,B1,B1
5054,4831,0.4574,deplain_apa_doc,apa_lha,B1,B1
5055,3260,0.4877,deplain_apa_doc,apa_lha,B1,A2
5056,3283,0.6858,deplain_apa_doc,apa_lha,B1,B1
5057,3429,0.6692,deplain_apa_doc,apa_lha,B1,B1
5058,4837,0.4845,deplain_apa_doc,apa_lha,B1,B1
5059,3466,0.509,deplain_apa_doc,apa_lha,B1,B1
5060,3269,0.4776,deplain_apa_doc,apa_lha,B1,A2
5061,4785,0.5192,deplain_apa_doc,apa_lha,B1,B1
5062,3260,0.4106,deplain_apa_doc,apa_lha,B1,A2
5063,3467,0.567,deplain_apa_doc,apa_lha,B1,B1
5064,3498,0.5483,deplain_apa_doc,apa_lha,B1,B1
5065,4785,0.5344,deplain_apa_doc,apa_lha,B1,B1
5066,4798,0.4864,deplain_apa_doc,apa_lha,B1,B1
5067,1639,0.5938,deplain_apa_doc,apa_lha,B1,A2
5068,3507,0.6176,deplain_apa_doc,apa_lha,B1,B1
5069,1770,0.4846,deplain_apa_doc,apa_lha,B1,A2
5070,3531,0.5317,deplain_apa_doc,apa_lha,B1,B1
5071,3418,0.5349,deplain_apa_doc,apa_lha,B1,B1
5072,1626,0.4015,deplain_apa_doc,apa_lha,B1,A2
5073,4777,0.5815,deplain_apa_doc,apa_lha,B1,B1
5074,3467,0.4198,deplain_apa_doc,apa_lha,B1,B1
5075,3282,0.7042,deplain_apa_doc,apa_lha,B1,B1
5076,4808,0.4319,deplain_apa_doc,apa_lha,B1,B1
5077,3412,0.5137,deplain_apa_doc,apa_lha,B1,B1
5078,3532,0.4293,deplain_apa_doc,apa_lha,B1,B1
5079,3494,0.4803,deplain_apa_doc,apa_lha,B1,B1
5080,3282,0.6325,deplain_apa_doc,apa_lha,B1,B1
5081,3523,0.5476,deplain_apa_doc,apa_lha,B1,B1
5082,2626,0.4574,deplain_apa_doc,apa_lha,B1,A2
5083,3282,0.4553,deplain_apa_doc,apa_lha,B1,B1
5084,3533,0.5227,deplain_apa_doc,apa_lha,B1,B1
5085,3312,0.5278,deplain_apa_doc,apa_lha,B1,B1
5086,1681,0.5828,deplain_apa_doc,apa_lha,B1,A2
5087,3941,0.4403,deplain_apa_doc,apa_lha,B1,B1
5088,1551,0.4365,deplain_apa_doc,apa_lha,B1,A2
5089,1702,0.4605,deplain_apa_doc,apa_lha,B1,A2
5090,3310,0.6526,deplain_apa_doc,apa_lha,B1,B1
5091,3404,0.5928,deplain_apa_doc,apa_lha,B1,B1
5092,3366,0.4699,deplain_apa_doc,apa_lha,B1,B1
5093,3404,0.4454,deplain_apa_doc,apa_lha,B1,B1
5094,2767,0.5018,deplain_apa_doc,apa_lha,B1,A2
5095,3304,0.5177,deplain_apa_doc,apa_lha,B1,B1
5096,4830,0.5062,deplain_apa_doc,apa_lha,B1,B1
5097,4830,0.4693,deplain_apa_doc,apa_lha,B1,B1
5098,3947,0.4323,deplain_apa_doc,apa_lha,B1,B1
5099,3527,0.6563,deplain_apa_doc,apa_lha,B1,B1
5100,3478,0.5008,deplain_apa_doc,apa_lha,B1,B1
5101,4804,0.3884,deplain_apa_doc,apa_lha,B1,B1
5102,2767,0.4653,deplain_apa_doc,apa_lha,B1,A2
5103,4775,0.5309,deplain_apa_doc,apa_lha,B1,B1
5104,3848,0.4471,deplain_apa_doc,apa_lha,B1,B1
5105,3941,0.4563,deplain_apa_doc,apa_lha,B1,B1
5106,3674,0.5429,deplain_apa_doc,apa_lha,B1,B1
5107,3623,0.5045,deplain_apa_doc,apa_lha,B1,B1
5108,3840,0.4443,deplain_apa_doc,apa_lha,B1,B1
5109,3942,0.586,deplain_apa_doc,apa_lha,B1,B1
5110,3548,0.7728,deplain_apa_doc,apa_lha,B1,B1
5111,3632,0.5276,deplain_apa_doc,apa_lha,B1,B1
5112,2026,0.4628,deplain_apa_doc,apa_lha,B1,A2
5113,1674,0.6044,deplain_apa_doc,apa_lha,B1,A2
5114,3941,0.5242,deplain_apa_doc,apa_lha,B1,B1
5115,3808,0.5263,deplain_apa_doc,apa_lha,B1,B1
5116,3641,0.6008,deplain_apa_doc,apa_lha,B1,B1
5117,3716,0.6539,deplain_apa_doc,apa_lha,B1,B1
5118,4506,0.4621,deplain_apa_doc,apa_lha,B1,B1
5119,3951,0.5989,deplain_apa_doc,apa_lha,B1,B1
5120,3596,0.5315,deplain_apa_doc,apa_lha,B1,B1
5121,3746,0.4869,deplain_apa_doc,apa_lha,B1,B1
5122,3731,0.4003,deplain_apa_doc,apa_lha,B1,B1
5123,3875,0.5036,deplain_apa_doc,apa_lha,B1,B1
5124,3899,0.5176,deplain_apa_doc,apa_lha,B1,B1
5125,3783,0.5307,deplain_apa_doc,apa_lha,B1,B1
5126,3551,0.6053,deplain_apa_doc,apa_lha,B1,B1
5127,3929,0.4942,deplain_apa_doc,apa_lha,B1,B1
5128,3636,0.4321,deplain_apa_doc,apa_lha,B1,B1
5129,3863,0.5688,deplain_apa_doc,apa_lha,B1,B1
5130,3652,0.5683,deplain_apa_doc,apa_lha,B1,B1
5131,3850,0.4171,deplain_apa_doc,apa_lha,B1,B1
5132,3288,0.5508,deplain_apa_doc,apa_lha,B1,B1
5133,3614,0.5067,deplain_apa_doc,apa_lha,B1,B1
5134,3685,0.5712,deplain_apa_doc,apa_lha,B1,B1
5135,3581,0.5995,deplain_apa_doc,apa_lha,B1,B1
5136,2329,0.3549,deplain_apa_doc,apa_lha,B1,A2
5137,3689,0.5065,deplain_apa_doc,apa_lha,B1,B1
5138,3800,0.7083,deplain_apa_doc,apa_lha,B1,B1
5139,3686,0.5075,deplain_apa_doc,apa_lha,B1,B1
5140,3828,0.4768,deplain_apa_doc,apa_lha,B1,B1
5141,3282,0.5076,deplain_apa_doc,apa_lha,B1,B1
5142,3866,0.5367,deplain_apa_doc,apa_lha,B1,B1
5143,3715,0.4626,deplain_apa_doc,apa_lha,B1,B1
5144,3620,0.5003,deplain_apa_doc,apa_lha,B1,B1
5145,3572,0.5491,deplain_apa_doc,apa_lha,B1,B1
5146,3788,0.5275,deplain_apa_doc,apa_lha,B1,B1
5147,3690,0.4623,deplain_apa_doc,apa_lha,B1,B1
5148,3898,0.4968,deplain_apa_doc,apa_lha,B1,B1
5149,3558,0.522,deplain_apa_doc,apa_lha,B1,B1
5150,3695,0.5379,deplain_apa_doc,apa_lha,B1,B1
5151,3928,0.4553,deplain_apa_doc,apa_lha,B1,B1
5152,3967,0.5939,deplain_apa_doc,apa_lha,B1,B1
5153,3598,0.5,deplain_apa_doc,apa_lha,B1,B1
5154,3661,0.5614,deplain_apa_doc,apa_lha,B1,B1
5155,3683,0.5614,deplain_apa_doc,apa_lha,B1,B1
5156,3648,0.5029,deplain_apa_doc,apa_lha,B1,B1
5157,2115,0.4536,deplain_apa_doc,apa_lha,B1,A2
5158,3680,0.4742,deplain_apa_doc,apa_lha,B1,B1
5159,3761,0.516,deplain_apa_doc,apa_lha,B1,B1
5160,3761,0.5252,deplain_apa_doc,apa_lha,B1,B1
5161,3634,0.4303,deplain_apa_doc,apa_lha,B1,B1
5162,2216,0.5876,deplain_apa_doc,apa_lha,B1,A2
5163,3894,0.4528,deplain_apa_doc,apa_lha,B1,B1
5164,3602,0.5959,deplain_apa_doc,apa_lha,B1,B1
5165,3761,0.4644,deplain_apa_doc,apa_lha,B1,B1
5166,4077,0.4084,deplain_apa_doc,apa_lha,B1,B1
5167,2232,0.4557,deplain_apa_doc,apa_lha,B1,A2
5168,3724,0.574,deplain_apa_doc,apa_lha,B1,B1
5169,3704,0.5358,deplain_apa_doc,apa_lha,B1,B1
5170,3615,0.5256,deplain_apa_doc,apa_lha,B1,B1
5171,3791,0.4569,deplain_apa_doc,apa_lha,B1,B1
5172,3775,0.4769,deplain_apa_doc,apa_lha,B1,B1
5173,3844,0.5812,deplain_apa_doc,apa_lha,B1,B1
5174,3742,0.4996,deplain_apa_doc,apa_lha,B1,B1
5175,3282,0.4888,deplain_apa_doc,apa_lha,B1,B1
5176,3427,0.4958,deplain_apa_doc,apa_lha,B1,B1
5177,3909,0.4449,deplain_apa_doc,apa_lha,B1,B1
5178,3879,0.4716,deplain_apa_doc,apa_lha,B1,B1
5179,3958,0.5557,deplain_apa_doc,apa_lha,B1,B1
5180,3974,0.5225,deplain_apa_doc,apa_lha,B1,B1
5181,3836,0.5744,deplain_apa_doc,apa_lha,B1,B1
5182,3566,0.6726,deplain_apa_doc,apa_lha,B1,B1
5183,3771,0.536,deplain_apa_doc,apa_lha,B1,B1
5184,3954,0.5798,deplain_apa_doc,apa_lha,B1,B1
5185,3741,0.4617,deplain_apa_doc,apa_lha,B1,B1
5186,3552,0.4906,deplain_apa_doc,apa_lha,B1,B1
5187,1994,0.5525,deplain_apa_doc,apa_lha,B1,A2
5188,2359,0.4382,deplain_apa_doc,apa_lha,B1,A2
5189,3777,0.524,deplain_apa_doc,apa_lha,B1,B1
5190,3544,0.4722,deplain_apa_doc,apa_lha,B1,B1
5191,3904,0.5422,deplain_apa_doc,apa_lha,B1,B1
5192,3556,0.5557,deplain_apa_doc,apa_lha,B1,B1
5193,3963,0.5441,deplain_apa_doc,apa_lha,B1,B1
5194,1941,0.469,deplain_apa_doc,apa_lha,B1,A2
5195,4609,0.4702,deplain_apa_doc,apa_lha,B1,B1
5196,3961,0.5198,deplain_apa_doc,apa_lha,B1,B1
5197,3555,0.4934,deplain_apa_doc,apa_lha,B1,B1
5198,3709,0.5661,deplain_apa_doc,apa_lha,B1,B1
5199,2094,0.4028,deplain_apa_doc,apa_lha,B1,A2
5200,3830,0.5024,deplain_apa_doc,apa_lha,B1,B1
5201,3381,0.5109,deplain_apa_doc,apa_lha,B1,B1
5202,2099,0.3818,deplain_apa_doc,apa_lha,B1,A2
5203,3736,0.5362,deplain_apa_doc,apa_lha,B1,B1
5204,3821,0.4887,deplain_apa_doc,apa_lha,B1,B1
5205,3811,0.4983,deplain_apa_doc,apa_lha,B1,B1
5206,3939,0.5215,deplain_apa_doc,apa_lha,B1,B1
5207,3692,0.5801,deplain_apa_doc,apa_lha,B1,B1
5208,3540,0.4939,deplain_apa_doc,apa_lha,B1,B1
5209,3664,0.4646,deplain_apa_doc,apa_lha,B1,B1
5210,3546,0.5846,deplain_apa_doc,apa_lha,B1,B1
5211,3658,0.4571,deplain_apa_doc,apa_lha,B1,B1
5212,3932,0.6911,deplain_apa_doc,apa_lha,B1,B1
5213,3703,0.4495,deplain_apa_doc,apa_lha,B1,B1
5214,3626,0.5321,deplain_apa_doc,apa_lha,B1,B1
5215,3721,0.538,deplain_apa_doc,apa_lha,B1,B1
5216,3948,0.4479,deplain_apa_doc,apa_lha,B1,B1
5217,3768,0.5316,deplain_apa_doc,apa_lha,B1,B1
5218,3947,0.5243,deplain_apa_doc,apa_lha,B1,B1
5219,3925,0.6216,deplain_apa_doc,apa_lha,B1,B1
5220,3819,0.5887,deplain_apa_doc,apa_lha,B1,B1
5221,3887,0.5399,deplain_apa_doc,apa_lha,B1,B1
5222,3870,0.5253,deplain_apa_doc,apa_lha,B1,B1
5223,3757,0.6071,deplain_apa_doc,apa_lha,B1,B1
5224,3907,0.5546,deplain_apa_doc,apa_lha,B1,B1
5225,3881,0.4923,deplain_apa_doc,apa_lha,B1,B1
5226,3884,0.5936,deplain_apa_doc,apa_lha,B1,B1
5227,3869,0.4806,deplain_apa_doc,apa_lha,B1,B1
5228,3546,0.5293,deplain_apa_doc,apa_lha,B1,B1
5229,3575,0.5163,deplain_apa_doc,apa_lha,B1,B1
5230,3883,0.5669,deplain_apa_doc,apa_lha,B1,B1
5231,3939,0.4186,deplain_apa_doc,apa_lha,B1,B1
5232,3538,0.5855,deplain_apa_doc,apa_lha,B1,B1
5233,3585,0.5019,deplain_apa_doc,apa_lha,B1,B1
5234,3628,0.5876,deplain_apa_doc,apa_lha,B1,B1
5235,3546,0.4777,deplain_apa_doc,apa_lha,B1,B1
5236,2261,0.4437,deplain_apa_doc,apa_lha,B1,A2
5237,3589,0.5324,deplain_apa_doc,apa_lha,B1,B1
5238,2321,0.4633,deplain_apa_doc,apa_lha,B1,A2
5239,3593,0.5905,deplain_apa_doc,apa_lha,B1,B1
5240,3608,0.6422,deplain_apa_doc,apa_lha,B1,B1
5241,3860,0.5256,deplain_apa_doc,apa_lha,B1,B1
5242,3611,0.5147,deplain_apa_doc,apa_lha,B1,B1
5243,3068,0.59,deplain_apa_doc,apa_lha,B1,A2
5244,3751,0.4789,deplain_apa_doc,apa_lha,B1,B1
5245,1671,0.3052,deplain_apa_doc,apa_lha,B1,A2
5246,3678,0.4058,deplain_apa_doc,apa_lha,B1,B1
5247,3666,0.4681,deplain_apa_doc,apa_lha,B1,B1
5248,3901,0.4735,deplain_apa_doc,apa_lha,B1,B1
5249,3697,0.599,deplain_apa_doc,apa_lha,B1,B1
5250,2322,0.4445,deplain_apa_doc,apa_lha,B1,A2
5251,2161,0.4005,deplain_apa_doc,apa_lha,B1,A2
5252,3747,0.4449,deplain_apa_doc,apa_lha,B1,B1
5253,2115,0.4617,deplain_apa_doc,apa_lha,B1,A2
5254,3570,0.45,deplain_apa_doc,apa_lha,B1,B1
5255,3929,0.4489,deplain_apa_doc,apa_lha,B1,B1
5256,4077,0.4643,deplain_apa_doc,apa_lha,B1,B1
5257,3945,0.4934,deplain_apa_doc,apa_lha,B1,B1
5258,1559,0.4788,deplain_apa_doc,apa_lha,B1,A2
5259,2430,0.4563,deplain_apa_doc,apa_lha,B1,A2
5260,1901,0.3504,deplain_apa_doc,apa_lha,B1,A2
5261,3678,0.398,deplain_apa_doc,apa_lha,B1,B1
