level,topic,topic_label,observed,expected,obs_over_exp,std_residual
A1,0,0: österreich/niederösterreich/oberösterreich (Austrian regional Covid measures),0,11.0,0.0,-3.59
A1,13,"13: österreichische/europa/ländern (Austrian/European news (travel, economy, sport))",0,11.1,0.0,-3.59
C2,0,0: österreich/niederösterreich/oberösterreich (Austrian regional Covid measures),1,12.7,0.08,-3.55
A1,6,6: virus/krise/corona (Covid pandemic and health),0,10.5,0.0,-3.48
B2,9,9: brexit/großbritannien/britische (Brexit),0,10.8,0.0,-3.46
B1,2,2: stadt/grüßen/freundlichen (Formal letters seeking housing),136,168.6,0.81,-3.43
B1,1,1: grüße/wünsche/liebe (Informal greeting and invitation letters),137,110.7,1.24,3.38
B2,14,14: baby/jens/babys (Congratulations on a birth),7,21.3,0.33,-3.3
A1,10,"10: arbeit/neuburg/ingo (Work, unemployment and housing)",13,5.6,2.34,3.29
B2,10,"10: arbeit/neuburg/ingo (Work, unemployment and housing)",11,26.4,0.42,-3.21
C2,6,6: virus/krise/corona (Covid pandemic and health),2,12.0,0.17,-3.11
C1,11,11: österreicher/meisten/oberösterreich (Austrian survey and opinion reporting),0,7.7,0.0,-2.89
C1,3,3: regierung/partei/wahl (Austrian domestic politics),1,8.4,0.12,-2.67
C1,5,5: trump/präsident/demokraten (US politics),0,6.3,0.0,-2.61
A2,3,3: regierung/partei/wahl (Austrian domestic politics),192,168.7,1.14,2.5
A1,3,3: regierung/partei/wahl (Austrian domestic politics),0,5.6,0.0,-2.46
B1,6,6: virus/krise/corona (Covid pandemic and health),330,300.5,1.1,2.39
C1,10,"10: arbeit/neuburg/ingo (Work, unemployment and housing)",15,8.4,1.79,2.38
B1,11,11: österreicher/meisten/oberösterreich (Austrian survey and opinion reporting),167,146.0,1.14,2.36
A1,11,11: österreicher/meisten/oberösterreich (Austrian survey and opinion reporting),0,5.1,0.0,-2.34
B1,5,5: trump/präsident/demokraten (US politics),139,120.5,1.15,2.28
C2,5,5: trump/präsident/demokraten (US politics),0,4.8,0.0,-2.27
A2,11,11: österreicher/meisten/oberösterreich (Austrian survey and opinion reporting),174,154.3,1.13,2.21
C1,2,2: stadt/grüßen/freundlichen (Formal letters seeking housing),15,8.9,1.69,2.16
A1,5,5: trump/präsident/demokraten (US politics),0,4.2,0.0,-2.12
B1,3,3: regierung/partei/wahl (Austrian domestic politics),179,159.6,1.12,2.09
A2,9,9: brexit/großbritannien/britische (Brexit),82,69.3,1.18,2.09
C2,11,11: österreicher/meisten/oberösterreich (Austrian survey and opinion reporting),1,5.8,0.17,-2.08
A2,5,5: trump/präsident/demokraten (US politics),144,127.3,1.13,2.05
A1,8,8: kultur/traditionen/heimatlandes (Essays on home vs host-country culture),0,4.0,0.0,-2.05
C2,13,"13: österreichische/europa/ländern (Austrian/European news (travel, economy, sport))",6,12.7,0.47,-2.04
A2,7,7: liebe/bitte/julia (Informal notes about everyday arrangements),230,209.1,1.1,2.03
B2,1,1: grüße/wünsche/liebe (Informal greeting and invitation letters),26,18.3,1.42,1.92
C1,14,14: baby/jens/babys (Congratulations on a birth),2,6.8,0.29,-1.91
B1,10,"10: arbeit/neuburg/ingo (Work, unemployment and housing)",142,159.6,0.89,-1.9
C1,9,9: brexit/großbritannien/britische (Brexit),0,3.4,0.0,-1.9
C2,3,3: regierung/partei/wahl (Austrian domestic politics),2,6.4,0.31,-1.81
A2,10,"10: arbeit/neuburg/ingo (Work, unemployment and housing)",185,168.7,1.1,1.75
C1,1,1: grüße/wünsche/liebe (Informal greeting and invitation letters),2,5.8,0.34,-1.64
A1,12,12: geehrte/praktikum/spezialist (IT internship applications),0,2.5,0.0,-1.62
A1,9,9: brexit/großbritannien/britische (Brexit),0,2.3,0.0,-1.54
B1,14,14: baby/jens/babys (Congratulations on a birth),117,129.0,0.91,-1.43
A2,14,14: baby/jens/babys (Congratulations on a birth),147,136.3,1.08,1.27
C2,1,1: grüße/wünsche/liebe (Informal greeting and invitation letters),7,4.4,1.58,1.26
C1,7,7: liebe/bitte/julia (Informal notes about everyday arrangements),7,10.4,0.67,-1.12
C2,2,2: stadt/grüßen/freundlichen (Formal letters seeking housing),4,6.8,0.59,-1.11
C2,10,"10: arbeit/neuburg/ingo (Work, unemployment and housing)",9,6.4,1.41,1.07
B2,7,7: liebe/bitte/julia (Informal notes about everyday arrangements),27,32.7,0.83,-1.07
A1,2,2: stadt/grüßen/freundlichen (Formal letters seeking housing),4,5.9,0.68,-0.8
B1,9,9: brexit/großbritannien/britische (Brexit),70,65.6,1.07,0.73
C2,14,14: baby/jens/babys (Congratulations on a birth),4,5.2,0.77,-0.53
B1,0,0: österreich/niederösterreich/oberösterreich (Austrian regional Covid measures),323,317.1,1.02,0.47
A1,4,4: deutschland/deutsch/deutsche (Au-pair stays in Germany / learning German),4,3.2,1.24,0.45
C2,9,9: brexit/großbritannien/britische (Brexit),2,2.6,0.76,-0.4
C2,7,7: liebe/bitte/julia (Informal notes about everyday arrangements),7,7.9,0.88,-0.35
A2,13,"13: österreichische/europa/ländern (Austrian/European news (travel, economy, sport))",333,336.0,0.99,-0.24
A1,1,1: grüße/wünsche/liebe (Informal greeting and invitation letters),4,3.9,1.04,0.08
